Market,Subscribers,FB Followers,IG Followers,Social Followers,Open Rate,Avg NL Impressions
608,28716,1697,20407,22104,50.3%,21916
BOS,46463,1644,35627,37271,40.4%,26780
CBUS,34709,2383,68436,70819,45.6%,22237
DAL,7722,1229,1438,2667,45.3%,4604
KC,64702,5198,98657,103855,52.8%,50751
ORL,11108,502,508,1010,46.1%,4298
PDX,31257,2280,39936,42216,53.9%,26166
SAC,12943,1420,22449,23869,59.7%,11067
SATX,53422,4062,57188,61250,40.5%,28359
SD,17874,1028,16954,17982,53.3%,13554
SEA,28978,1466,35612,37078,54.9%,22637
SJ,20350,1003,45790,46793,59.0%,17008

