Market,Subscribers,FB Followers,IG Followers,Social Followers,Open Rate,Avg NL Impressions
6AM City,1131885,330801,1431252,1762053,49.41%,826415
865,13733,1427,1269,2696,44.20%,6399
ATX,60267,15583,81614,97197,48.60%,40302
AVL,51051,25213,76880,102093,55.60%,49929
CHS,50305,23375,110739,134114,59.30%,47148
CLT,29936,2046,22942,24988,41.80%,18409
COLA,49563,24348,60039,84387,49.60%,37898
FTW,45284,8635,45831,54466,41.60%,26416
GVL,69774,35568,122338,157906,54.90%,66157
INDY,51369,12580,49459,62039,40.00%,28881
LAL,33840,37103,45730,82833,45.30%,23651
LEX,44610,7876,34195,42071,46.00%,31202
LOU,40071,14056,49870,63926,44.50%,25826
NASH,47543,4496,83805,88301,53.8%,36672
NOOGA,47808,72468,57581,130049,47.00%,34661
NOVA,13258,1371,1993,3364,45.80%,9357
RAL,52868,12705,71409,84114,52.50%,41762
RIC,34115,4289,68343,72632,51.30%,26578
TBAY,48832,2627,18183,20810,35.80%,24759
WS,32550,2833,8365,11198,38.60%,18219



